Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRC60,10.208,Regular,0,Breakfast,218.5029,OUT010,1998,,Tier 3,Grocery Store,420.6796
FDD19,,reg,0,Household,150.2759,OUT018,2009,Medium,Tier 3,Supermarket Type2,2263.3955
FDP48,17.824,reg,0,Canned,137.0514,OUT019,1985,,Tier 1,Grocery Store,828.5597
NCK37,12.758,Regular,0,Soft Drinks,165.5831,OUT027,1985,Medium,Tier 3,Supermarket Type3,2486.9553
FDF47,4.91,Low Fat,0.043661732,Starchy Foods,119.9168,OUT027,1985,,Tier 3,Supermarket Type3,1182.7179
DRE60,,Regular,0.321383931,Others,2.4574,OUT019,1985,Small,Tier 1,Grocery Store,464.1423
FDU55,20.586,Low fat,0.045412817,Breakfast,142.3008,OUT013,1987,High,Tier 3,Supermarket Type1,536.3567
NCX38,5.11,Regular,0.187881949,Others,186.5484,OUT013,1987,High,Tier 3,Supermarket Type1,1498.4114
NCB31,4.925,reg,0.06617436,Breakfast,233.9365,OUT013,1987,High,Tier 3,Supermarket Type1,1647.0774
NCL22,12.151,Regular,0.234453946,Hard Drinks,190.5315,OUT018,2009,Medium,Tier 3,Supermarket Type2,2055.1695
FDQ40,20.115,Regular,0.293118338,Starchy Foods,243.988,OUT017,2007,,Tier 2,Supermarket Type1,2111.2494
DRB15,,Regular,0.176491894,Starchy Foods,220.5976,OUT046,1997,Small,Tier 1,Supermarket Type1,1510.0405
FDP42,,Regular,0.259704865,Frozen Foods,123.8957,OUT045,2002,,Tier 2,Supermarket Type1,1627.3134
NCA33,21.019,LF,0,Breakfast,144.1617,OUT049,1999,Medium,Tier 1,Supermarket Type1,1837.8291
NCC23,9.609,Regular,0.247985518,Dairy,262.1718,OUT049,1999,Medium,Tier 1,Supermarket Type1,1168.8473
FDW50,16.633,Regular,0.093157743,Breads,95.5714,OUT018,2009,Medium,Tier 3,Supermarket Type2,766.3206
DRK06,16.092,LF,0.103190952,Seafood,191.249,OUT049,1999,Medium,Tier 1,Supermarket Type1,1010.1372
DRK18,19.794,Low fat,0.127282709,Meat,259.0884,OUT010,1998,,Tier 3,Grocery Store,1597.0039
FDV34,17.693,regular,0.157658219,Soft Drinks,215.9477,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.4183
FDP47,15.722,Regular,0.282699736,Others,170.1017,OUT027,1985,Medium,Tier 3,Supermarket Type3,994.0064
FDF41,,regular,0,Health and Hygiene,97.5614,OUT049,1999,Medium,Tier 1,Supermarket Type1,667.3305
NCG47,4.87,Regular,0.154318613,Breads,170.9443,OUT049,1999,Medium,Tier 1,Supermarket Type1,2748.238
NCC50,10.666,Regular,0.281988361,Baking Goods,153.4098,OUT027,1985,Medium,Tier 3,Supermarket Type3,2458.8939
FDO50,7.768,Regular,0.28212716,Seafood,93.1846,OUT027,1985,Medium,Tier 3,Supermarket Type3,1693.8422
DRZ21,,regular,0.0593384,Fruits and Vegetables,127.97,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.4799
DRB51,15.52,regular,0.121799656,Health and Hygiene,69.9167,OUT049,1999,Medium,Tier 1,Supermarket Type1,536.7873
FDT09,,Regular,0,Seafood,63.683,OUT046,1997,Small,Tier 1,Supermarket Type1,23102.3885
NCK46,4.68,LF,0.075020599,Seafood,107.4999,OUT049,1999,Medium,Tier 1,Supermarket Type1,1183.1127
FDC18,16.33,Low Fat,0,Canned,129.918,OUT017,2007,,Tier 2,Supermarket Type1,990.5109
NCF60,18.256,regular,0.221309824,Starchy Foods,171.1714,OUT018,2009,Medium,Tier 3,Supermarket Type2,3658.3337
FDD13,17.736,LF,0.050589227,Breads,43.7921,OUT049,1999,Medium,Tier 1,Supermarket Type1,779.2791
FDJ05,18.492,Low fat,0.143026164,Canned,138.3992,OUT027,1985,Medium,Tier 3,Supermarket Type3,1291.1309
FDJ56,18.183,Low fat,0.033058852,Hard Drinks,228.1558,OUT027,1985,Medium,Tier 3,Supermarket Type3,4979.5329
NCA08,12.352,Low Fat,0.268564008,Frozen Foods,114.5821,OUT018,2009,,Tier 3,Supermarket Type2,1641.9823
DRJ55,15.816,Low Fat,0.131187674,Breakfast,36.6025,OUT018,2009,Medium,Tier 3,Supermarket Type2,522.0194
FDJ04,12.461,reg,0.255569158,Seafood,202.7428,OUT018,2009,Medium,Tier 3,Supermarket Type2,2611.591
FDB33,5.064,regular,0,Fruits and Vegetables,232.1973,OUT049,1999,Medium,Tier 1,Supermarket Type1,1831.7635
FDG29,8.408,Regular,0.096101334,Fruits and Vegetables,191.9979,OUT013,1987,High,Tier 3,Supermarket Type1,1172.5281
DRZ55,8.669,regular,0,Breads,157.1893,OUT017,2007,,Tier 2,Supermarket Type1,2759.2766
NCD33,9.945,Low fat,0,Seafood,263.0419,OUT018,2009,Medium,Tier 3,Supermarket Type2,3592.4586
FDI35,16.895,low fat,0.326570991,Health and Hygiene,33.0286,OUT018,2009,Medium,Tier 3,Supermarket Type2,640.0618
DRC10,17.823,regular,0,Canned,82.7745,OUT046,1997,Small,Tier 1,Supermarket Type1,818.0107
FDQ35,,low fat,0,Breads,200.0616,OUT027,1985,Medium,Tier 3,Supermarket Type3,3996.7863
FDM59,,regular,0.279770599,Starchy Foods,163.6487,OUT018,2009,Medium,Tier 3,Supermarket Type2,3323.6329
FDG39,,reg,0.101472226,Frozen Foods,245.9596,OUT045,2002,,Tier 2,Supermarket Type1,1841.8693
FDQ55,17.061,Low fat,0.099576439,Health and Hygiene,150.9615,OUT017,2007,,Tier 2,Supermarket Type1,2864.8628
FDM53,9.72,low fat,0.154698509,Seafood,216.8049,OUT027,1985,Medium,Tier 3,Supermarket Type3,1399.0661
NCG16,9.858,low fat,0,Household,119.3355,OUT017,2007,,Tier 2,Supermarket Type1,1321.1717
NCD24,20.908,LF,0.219443916,Breakfast,249.5845,OUT019,1985,Small,Tier 1,Grocery Store,766.6415
FDY31,18.532,reg,0.11025228,Breakfast,33.0372,OUT018,2009,Medium,Tier 3,Supermarket Type2,431.1074
DRD25,15.657,Regular,0,Soft Drinks,125.0129,OUT010,1998,,Tier 3,Grocery Store,258.5045
NCI38,18.64,low fat,0.187353144,Fruits and Vegetables,97.1607,OUT013,1987,High,Tier 3,Supermarket Type1,1490.9378
FDL35,11.505,regular,0,Soft Drinks,63.2639,OUT013,1987,High,Tier 3,Supermarket Type1,275.9339
DRI58,17.075,Regular,0.247043047,Dairy,166.0187,OUT035,2004,Small,Tier 2,Supermarket Type1,2087.9494
FDS30,19.611,Low Fat,0.085985006,Meat,205.7392,OUT013,1987,High,Tier 3,Supermarket Type1,4068.2063
FDN12,7.521,LF,0.286894952,Breads,121.9559,OUT049,1999,Medium,Tier 1,Supermarket Type1,785.649
DRH28,5.095,Low fat,0,Household,117.7106,OUT018,2009,Medium,Tier 3,Supermarket Type2,1645.6835
NCA44,15.496,Regular,0.177048385,Others,39.5062,OUT018,2009,Medium,Tier 3,Supermarket Type2,108.8265
DRA49,20.445,Low fat,0,Breakfast,142.9229,OUT017,2007,,Tier 2,Supermarket Type1,884.3115
FDA44,19.024,LF,0.266261455,Health and Hygiene,54.1166,OUT013,1987,High,Tier 3,Supermarket Type1,756.7539
FDH10,20.682,Low fat,0.287093376,Hard Drinks,182.9338,OUT049,1999,Medium,Tier 1,Supermarket Type1,3325.0322
NCF12,,low fat,0,Breakfast,76.8182,OUT046,1997,Small,Tier 1,Supermarket Type1,1410.0628
NCK14,5.617,Low fat,0,Meat,2.3287,OUT010,1998,,Tier 3,Grocery Store,319.4946
FDW40,20.403,low fat,0,Frozen Foods,113.8854,OUT018,2009,,Tier 3,Supermarket Type2,1587.6336
FDC57,19.823,Low fat,0,Meat,72.5274,OUT013,1987,High,Tier 3,Supermarket Type1,1017.5856
FDB06,12.887,regular,0.216718704,Dairy,138.9194,OUT049,1999,Medium,Tier 1,Supermarket Type1,1556.4651
DRK54,20.032,Regular,0.326380745,Fruits and Vegetables,57.9358,OUT018,2009,Medium,Tier 3,Supermarket Type2,495.1405
NCL04,20.069,Regular,0.166162773,Seafood,218.9888,OUT035,2004,Small,Tier 2,Supermarket Type1,1713.225
NCJ25,10.713,Low Fat,0.292984938,Health and Hygiene,199.0681,OUT046,1997,Small,Tier 1,Supermarket Type1,-40.026
FDD08,,LF,0.168309251,Fruits and Vegetables,142.6758,OUT045,2002,,Tier 2,Supermarket Type1,2146.7632
FDW28,7.609,low fat,0,Hard Drinks,78.1429,OUT027,1985,Medium,Tier 3,Supermarket Type3,1274.7891
NCB41,20.078,Regular,0.007184081,Snack Foods,209.9564,OUT027,1985,Medium,Tier 3,Supermarket Type3,3085.2843
DRF29,8.179,Low Fat,0.238942385,Starchy Foods,246.5367,OUT017,2007,,Tier 2,Supermarket Type1,3980.815
FDN59,10.379,Low fat,0.049782483,Soft Drinks,36.2293,OUT018,2009,Medium,Tier 3,Supermarket Type2,317.9723
NCH56,16.827,Regular,0.198759399,Others,177.218,OUT046,1997,Small,Tier 1,Supermarket Type1,3355.4113
FDU38,,Low fat,0.232202517,Household,194.303,OUT027,1985,Medium,Tier 3,Supermarket Type3,2646.0533
FDH58,,regular,0.066831299,Breakfast,37.9283,OUT027,1985,Medium,Tier 3,Supermarket Type3,704.2151
NCX58,,regular,0,Hard Drinks,119.7609,OUT049,1999,Medium,Tier 1,Supermarket Type1,851.6888
FDP14,20.535,Regular,0,Breads,206.9456,OUT013,1987,High,Tier 3,Supermarket Type1,3016.6372
NCK26,20.142,Low Fat,0,Seafood,167.3419,OUT027,1985,Medium,Tier 3,Supermarket Type3,2747.4367
NCP54,4.941,Regular,0.298562985,Fruits and Vegetables,240.3773,OUT010,1998,,Tier 3,Grocery Store,1534.7689
FDR40,,Low Fat,0,Starchy Foods,265.1702,OUT017,2007,,Tier 2,Supermarket Type1,2181.7225
FDE35,10.731,Regular,0.074570671,Starchy Foods,107.3969,OUT035,2004,Small,Tier 2,Supermarket Type1,392.0138
FDC38,5.772,Regular,0.187134119,Health and Hygiene,181.2958,OUT013,1987,High,Tier 3,Supermarket Type1,475.7056
FDU56,7.998,Low Fat,0.011342752,Hard Drinks,174.7125,OUT013,1987,High,Tier 3,Supermarket Type1,3541.4786
FDA17,,Regular,0,Others,240.621,OUT049,1999,Medium,Tier 1,Supermarket Type1,4842.0263
DRZ43,19.693,Low fat,0,Starchy Foods,161.7682,OUT045,2002,,Tier 2,Supermarket Type1,2119.4471
FDM15,7.814,Low Fat,0.177657,Others,94.2182,OUT018,2009,Medium,Tier 3,Supermarket Type2,622.365
NCE17,19.181,low fat,0.227415367,Starchy Foods,186.0526,OUT018,2009,Medium,Tier 3,Supermarket Type2,580.0447
DRE21,13.859,low fat,0.243552507,Breads,235.6618,OUT049,1999,Medium,Tier 1,Supermarket Type1,4254.6732
FDJ42,14.276,Regular,0.155276277,Seafood,90.2325,OUT046,1997,Small,Tier 1,Supermarket Type1,1139.2559
FDI53,14.41,Low Fat,0.32410041,Starchy Foods,240.3048,OUT017,2007,,Tier 2,Supermarket Type1,3573.7619
NCE25,16.581,low fat,0,Dairy,226.5436,OUT019,1985,Small,Tier 1,Grocery Store,86.0352
FDO29,5.398,Low fat,0,Breakfast,36.5543,OUT010,1998,,Tier 3,Grocery Store,57.4058
FDO23,,low fat,0.148456794,Seafood,195.1884,OUT010,1998,,Tier 3,Grocery Store,1095.3339
DRJ60,17.515,Low Fat,0.022148172,Starchy Foods,123.0529,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.2686
DRB54,14.344,Regular,0.033023017,Breads,135.6676,OUT019,1985,Small,Tier 1,Grocery Store,439.8075
FDL38,11.86,reg,0.301423674,Others,90.0129,OUT045,2002,,Tier 2,Supermarket Type1,830.3775
FDZ42,11.764,Low Fat,0,Starchy Foods,257.7725,OUT018,2009,Medium,Tier 3,Supermarket Type2,2110.4972
FDA24,14.2,low fat,0.322377677,Snack Foods,204.5311,OUT049,1999,Medium,Tier 1,Supermarket Type1,1182.2607
NCJ20,11.299,LF,0.044546198,Snack Foods,201.882,OUT049,1999,Medium,Tier 1,Supermarket Type1,858.0588
FDL37,,Regular,0,Snack Foods,133.6626,OUT046,1997,Small,Tier 1,Supermarket Type1,509.4431
FDY31,13.405,Low Fat,0,Health and Hygiene,257.2299,OUT017,2007,,Tier 2,Supermarket Type1,1579.1724
FDT30,9.089,Regular,0,Breakfast,228.1968,OUT049,1999,Medium,Tier 1,Supermarket Type1,2570.8183
FDE03,4.549,low fat,0.272884998,Soft Drinks,154.9007,OUT018,2009,Medium,Tier 3,Supermarket Type2,1014.4045
FDQ36,20.088,low fat,0.088998204,Health and Hygiene,243.3458,OUT046,1997,Small,Tier 1,Supermarket Type1,5330.1471
DRH51,19.612,low fat,0.146391632,Household,127.6939,OUT035,2004,Small,Tier 2,Supermarket Type1,1886.0969
FDM21,17.929,Low fat,0.097447878,Hard Drinks,174.4961,OUT018,2009,Medium,Tier 3,Supermarket Type2,1059.9086
FDC09,19.859,Regular,0.006141068,Breads,212.8151,OUT045,2002,,Tier 2,Supermarket Type1,2255.7418
FDD16,4.832,regular,0.205547377,Hard Drinks,96.8143,OUT017,2007,,Tier 2,Supermarket Type1,1767.1092
FDF04,13.089,low fat,0,Fruits and Vegetables,228.7653,OUT019,1985,Small,Tier 1,Grocery Store,679.3868
DRI47,9.103,regular,0.178102,Canned,129.4362,OUT045,2002,,Tier 2,Supermarket Type1,960.0118
DRJ48,16.408,low fat,0.039724407,Breakfast,88.4801,OUT027,1985,Medium,Tier 3,Supermarket Type3,1307.973
FDZ35,13.817,low fat,0.159762094,Starchy Foods,243.7387,OUT045,2002,,Tier 2,Supermarket Type1,3593.693
DRA04,12.106,regular,0.124528008,Fruits and Vegetables,0.3467,OUT049,1999,Medium,Tier 1,Supermarket Type1,1089.2957
FDN46,15.362,Regular,0.10875239,Hard Drinks,142.7971,OUT027,1985,Medium,Tier 3,Supermarket Type3,1228.3474
FDQ23,,regular,0,Breads,46.3453,OUT017,2007,,Tier 2,Supermarket Type1,492.8027
FDF60,21.046,Regular,0,Seafood,173.1038,OUT010,1998,,Tier 3,Grocery Store,282.2244
FDG27,14.008,Low Fat,0.129617134,Breakfast,96.8324,OUT046,1997,Small,Tier 1,Supermarket Type1,1050.8616
NCG14,11.4,Low Fat,0.317319966,Snack Foods,183.8127,OUT027,1985,Medium,Tier 3,Supermarket Type3,2158.861
DRC45,10.005,regular,0.239905027,Meat,74.0607,OUT010,1998,,Tier 3,Grocery Store,265.9219
DRJ14,16.02,low fat,0.192186215,Snack Foods,151.9331,OUT013,1987,High,Tier 3,Supermarket Type1,2438.8037
DRC12,,regular,0,Breads,102.4617,OUT013,1987,High,Tier 3,Supermarket Type1,807.9705
FDM29,16.417,Regular,0.051197071,Snack Foods,61.4815,OUT049,1999,Medium,Tier 1,Supermarket Type1,388.4655
NCF39,,Low fat,0,Fruits and Vegetables,215.612,OUT017,2007,,Tier 2,Supermarket Type1,2717.1397
DRI27,8.973,regular,0.226835937,Frozen Foods,198.4124,OUT017,2007,,Tier 2,Supermarket Type1,3842.9999
FDH19,19.756,Low Fat,0,Household,159.7923,OUT017,2007,,Tier 2,Supermarket Type1,2962.9968
FDZ23,4.554,low fat,0,Baking Goods,115.6858,OUT018,2009,Medium,Tier 3,Supermarket Type2,1627.3276
FDR22,5.05,low fat,0.084660122,Health and Hygiene,125.5144,OUT018,2009,Medium,Tier 3,Supermarket Type2,704.0782
DRC05,,Regular,0.074698381,Canned,261.5847,OUT013,1987,High,Tier 3,Supermarket Type1,4319.5449
FDA44,7.39,Low fat,0.057902481,Meat,182.6015,OUT049,1999,Medium,Tier 1,Supermarket Type1,547.4249
FDG01,17.31,low fat,0,Breakfast,89.9962,OUT045,2002,,Tier 2,Supermarket Type1,1438.1215
FDV50,11.087,low fat,0.025775494,Household,38.7815,OUT035,2004,Small,Tier 2,Supermarket Type1,406.4599
FDU14,6.36,Low Fat,0.252597164,Soft Drinks,60.0915,OUT018,2009,Medium,Tier 3,Supermarket Type2,197.872
DRC54,16.61,LF,0.209915919,Others,227.4505,OUT017,2007,,Tier 2,Supermarket Type1,4647.4289
DRJ04,5.394,Regular,0.232023575,Health and Hygiene,246.8651,OUT018,2009,Medium,Tier 3,Supermarket Type2,2778.521
NCR28,20.031,Low fat,0,Household,101.6276,OUT010,1998,,Tier 3,Grocery Store,484.4912
FDQ52,20.856,Regular,0.254919534,Soft Drinks,127.8183,OUT027,1985,Medium,Tier 3,Supermarket Type3,462.654
FDR56,,low fat,0.100877577,Others,91.9336,OUT017,2007,,Tier 2,Supermarket Type1,1787.1149
FDK03,20.103,reg,0.261606645,Dairy,106.6482,OUT017,2007,,Tier 2,Supermarket Type1,1955.2672
FDB24,12.24,Regular,0.010182244,Snack Foods,266.4056,OUT017,2007,,Tier 2,Supermarket Type1,5503.026
FDU25,7.761,Low fat,0.049732023,Starchy Foods,56.2899,OUT018,2009,Medium,Tier 3,Supermarket Type2,682.6697
FDA30,18.93,regular,0,Fruits and Vegetables,206.4269,OUT018,2009,Medium,Tier 3,Supermarket Type2,1341.003
DRD04,15.461,Regular,0,Others,134.4893,OUT013,1987,High,Tier 3,Supermarket Type1,1420.8468
DRB12,17.275,Low Fat,0.299212326,Snack Foods,239.5135,OUT027,1985,Medium,Tier 3,Supermarket Type3,3506.6281
NCI03,17.33,reg,0.166042887,Canned,203.6583,OUT010,1998,,Tier 3,Grocery Store,488.2795
FDP48,14.651,low fat,0,Breads,188.7187,OUT013,1987,High,Tier 3,Supermarket Type1,3978.9863
FDB18,19.62,Regular,0,Meat,237.6619,OUT019,1985,Small,Tier 1,Grocery Store,423.7636
DRH51,18.805,reg,0.215802013,Household,128.4324,OUT046,1997,Small,Tier 1,Supermarket Type1,637.6514
FDK19,15.733,Low Fat,0.098675037,Meat,77.4376,OUT045,2002,,Tier 2,Supermarket Type1,1130.952
DRZ43,4.779,Regular,0,Fruits and Vegetables,254.9869,OUT013,1987,High,Tier 3,Supermarket Type1,2410.2824
NCK11,7.425,Regular,0.003789967,Frozen Foods,250.6118,OUT018,2009,Medium,Tier 3,Supermarket Type2,2001.3105
FDN15,16.534,Regular,0.295332545,Starchy Foods,252.698,OUT018,2009,Medium,Tier 3,Supermarket Type2,2321.3332
NCX28,12.408,Low Fat,0.083030964,Meat,235.6503,OUT018,2009,Medium,Tier 3,Supermarket Type2,2150.9414
DRA02,13.341,LF,0.03271463,Seafood,61.9217,OUT049,1999,Medium,Tier 1,Supermarket Type1,448.7579
FDE35,,LF,0.120650975,Dairy,49.4278,OUT045,2002,,Tier 2,Supermarket Type1,645.2969
FDI39,20.426,Low Fat,0.008595763,Canned,135.8235,OUT010,1998,,Tier 3,Grocery Store,238.1266
FDQ41,20.916,Regular,0.241211113,Canned,164.5394,OUT045,2002,,Tier 2,Supermarket Type1,467.6422
DRB40,11.528,Low Fat,0,Canned,153.8353,OUT035,2004,Small,Tier 2,Supermarket Type1,525.7282
FDH27,16.632,Low Fat,0.027530168,Frozen Foods,113.0539,OUT027,1985,Medium,Tier 3,Supermarket Type3,786.2969
FDL29,12.49,regular,0,Hard Drinks,86.2252,OUT018,2009,Medium,Tier 3,Supermarket Type2,473.8431
FDD56,9.409,Low Fat,0.306073031,Soft Drinks,138.3501,OUT027,1985,Medium,Tier 3,Supermarket Type3,1296.918
FDZ10,8.305,regular,0.23440976,Snack Foods,41.2674,OUT049,1999,Medium,Tier 1,Supermarket Type1,410.2102
NCC20,,Regular,0,Hard Drinks,192.4349,OUT049,1999,Medium,Tier 1,Supermarket Type1,2355.2507
FDP22,18.95,low fat,0.034837755,Snack Foods,243.2535,OUT049,1999,Medium,Tier 1,Supermarket Type1,3121.8425
FDA17,6.99,regular,0.022290579,Health and Hygiene,65.4089,OUT018,2009,Medium,Tier 3,Supermarket Type2,1034.187
FDZ06,14.873,low fat,0,Household,67.7071,OUT019,1985,Small,Tier 1,Grocery Store,182.9031
FDT21,8.656,LF,0,Hard Drinks,99.4058,OUT049,1999,Medium,Tier 1,Supermarket Type1,931.2926
FDD33,13.661,Low Fat,0,Frozen Foods,87.9478,OUT018,2009,Medium,Tier 3,Supermarket Type2,801.4404
DRI50,4.683,reg,0.218756233,Household,213.5873,OUT027,1985,Medium,Tier 3,Supermarket Type3,3770.5399
FDP03,,Regular,0,Meat,251.4163,OUT017,2007,,Tier 2,Supermarket Type1,2884.7961
DRH48,,Low fat,0.158071867,Others,236.3606,OUT027,1985,Medium,Tier 3,Supermarket Type3,3902.6048
FDX01,13.948,low fat,0.325140122,Starchy Foods,172.581,OUT045,2002,,Tier 2,Supermarket Type1,2348.0189
NCF44,8.258,Regular,0.253447087,Household,230.8622,OUT019,1985,Small,Tier 1,Grocery Store,1228.0001
NCI49,12.821,Low fat,0,Frozen Foods,99.5283,OUT035,2004,Small,Tier 2,Supermarket Type1,1170.3544
NCI50,18.063,Regular,0.071516183,Others,78.9567,OUT010,1998,,Tier 3,Grocery Store,49.53
FDV45,8.077,Regular,0,Others,201.6839,OUT027,1985,Medium,Tier 3,Supermarket Type3,1050.0048
FDA21,13.81,reg,0.257880548,Frozen Foods,171.7692,OUT013,1987,High,Tier 3,Supermarket Type1,1454.5743
NCD38,,regular,0,Starchy Foods,174.3046,OUT010,1998,,Tier 3,Grocery Store,384.559
NCM34,16.537,LF,0.162191094,Hard Drinks,220.5152,OUT017,2007,,Tier 2,Supermarket Type1,2958.853
DRB40,18.246,Regular,0.184233197,Starchy Foods,128.1594,OUT027,1985,Medium,Tier 3,Supermarket Type3,2638.4745
FDS56,11.16,Low fat,0,Fruits and Vegetables,188.0563,OUT046,1997,Small,Tier 1,Supermarket Type1,2476.4601
FDA32,13.088,Low Fat,0.326159792,Frozen Foods,158.2554,OUT018,2009,,Tier 3,Supermarket Type2,3309.5944
NCI25,6.343,Regular,0.225746604,Seafood,62.9754,OUT017,2007,,Tier 2,Supermarket Type1,860.1243
FDB38,12.676,Regular,0,Fruits and Vegetables,46.4302,OUT049,1999,Medium,Tier 1,Supermarket Type1,980.9154
NCI20,16.701,Regular,0.255348051,Meat,89.3613,OUT010,1998,,Tier 3,Grocery Store,391.4872
DRJ26,17.658,Regular,0.144816057,Household,232.4146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1655.2585
FDA19,8.815,LF,0.026109095,Meat,135.2108,OUT017,2007,,Tier 2,Supermarket Type1,2796.29
FDO23,,Regular,0,Dairy,115.2733,OUT017,2007,,Tier 2,Supermarket Type1,2392.2148
NCH43,15.363,reg,0,Fruits and Vegetables,171.7985,OUT013,1987,High,Tier 3,Supermarket Type1,1793.0619
FDF26,10.384,low fat,0.015788547,Breakfast,44.5204,OUT013,1987,High,Tier 3,Supermarket Type1,701.5846
NCC23,7.796,Regular,0,Soft Drinks,59.3505,OUT027,1985,Medium,Tier 3,Supermarket Type3,1234.1012
FDV26,15.41,LF,0,Frozen Foods,78.8626,OUT045,2002,,Tier 2,Supermarket Type1,1522.2607
FDZ54,12.745,reg,0.295153591,Fruits and Vegetables,56.1359,OUT019,1985,Small,Tier 1,Grocery Store,201.4313
NCA06,9.772,Low fat,0.307472482,Frozen Foods,37.7683,OUT010,1998,,Tier 3,Grocery Store,182.9204
NCM52,10.91,regular,0,Baking Goods,48.6717,OUT045,2002,,Tier 2,Supermarket Type1,338.6828
FDY23,10.552,Regular,0.311236511,Baking Goods,144.2374,OUT046,1997,Small,Tier 1,Supermarket Type1,2486.658
NCM11,11.324,low fat,0,Dairy,72.8419,OUT019,1985,Small,Tier 1,Grocery Store,33.0109
NCP58,10.668,low fat,0.215355023,Meat,245.2774,OUT013,1987,High,Tier 3,Supermarket Type1,695.0446
FDB09,19.775,LF,0.298516773,Breads,170.8806,OUT046,1997,Small,Tier 1,Supermarket Type1,1455.1149
NCB37,16.016,Low Fat,0,Snack Foods,75.8025,OUT049,1999,Medium,Tier 1,Supermarket Type1,1384.3893
NCD23,7.907,regular,0,Household,200.8799,OUT013,1987,High,Tier 3,Supermarket Type1,1601.3706
FDM60,21.203,Regular,0.069978853,Breads,75.3162,OUT018,2009,Medium,Tier 3,Supermarket Type2,1173.374
FDC31,19.849,low fat,0.114218948,Starchy Foods,186.5873,OUT035,2004,Small,Tier 2,Supermarket Type1,3580.2488
NCL06,13.495,Low fat,0.014381333,Health and Hygiene,260.2255,OUT049,1999,Medium,Tier 1,Supermarket Type1,2019.7045
FDF57,18.211,low fat,0,Frozen Foods,206.5337,OUT013,1987,High,Tier 3,Supermarket Type1,3461.6756
FDA21,13.81,reg,0.257880548,Frozen Foods,171.7692,OUT013,1987,High,Tier 3,Supermarket Type1,1454.5743
FDS32,,Regular,0,Dairy,144.4235,OUT013,1987,High,Tier 3,Supermarket Type1,1800.8422
FDX03,6.806,Low Fat,0.102682769,Others,47.8987,OUT035,2004,Small,Tier 2,Supermarket Type1,483.7793
FDC02,8.926,low fat,0.308979896,Others,246.6118,OUT027,1985,Medium,Tier 3,Supermarket Type3,4054.4469
FDT12,5.173,reg,0,Breads,241.2161,OUT027,1985,Medium,Tier 3,Supermarket Type3,3060.6578
FDA47,,reg,0.309367602,Baking Goods,251.3607,OUT018,2009,Medium,Tier 3,Supermarket Type2,1028.7253
FDJ09,5.862,regular,0.298473894,Household,186.8936,OUT046,1997,Small,Tier 1,Supermarket Type1,1677.4575
DRF45,,Regular,0.165603033,Seafood,50.4787,OUT013,1987,High,Tier 3,Supermarket Type1,1005.4554
FDK02,5.13,Regular,0.2959582,Meat,58.2594,OUT035,2004,Small,Tier 2,Supermarket Type1,936.2979
FDB24,,reg,0.196655167,Canned,139.0623,OUT027,1985,Medium,Tier 3,Supermarket Type3,1626.2614
NCG47,7.229,Low Fat,0.030181967,Breads,112.0948,OUT045,2002,,Tier 2,Supermarket Type1,2134.4581
DRB59,13.28,Regular,0,Meat,191.511,OUT010,1998,,Tier 3,Grocery Store,394.519
FDH41,14.657,low fat,0.169968656,Health and Hygiene,215.1569,OUT013,1987,High,Tier 3,Supermarket Type1,1597.5433
FDG38,8.7,regular,0.269905564,Baking Goods,248.2388,OUT013,1987,High,Tier 3,Supermarket Type1,779.4978
FDC14,10.416,low fat,0.228263503,Canned,53.1238,OUT013,1987,High,Tier 3,Supermarket Type1,191.6003
NCF39,,reg,0.006627203,Household,124.619,OUT013,1987,High,Tier 3,Supermarket Type1,1915.3054
FDJ57,,Low fat,0.072885692,Health and Hygiene,58.0123,OUT010,1998,,Tier 3,Grocery Store,79.8427
NCR58,16.903,low fat,0.302784096,Health and Hygiene,219.4837,OUT013,1987,High,Tier 3,Supermarket Type1,2125.0052
FDO06,12.253,low fat,0.306128089,Baking Goods,63.672,OUT027,1985,Medium,Tier 3,Supermarket Type3,863.9865
FDV14,17.333,Low fat,0.250158586,Breads,146.1793,OUT013,1987,High,Tier 3,Supermarket Type1,1659.6362
FDT01,6.639,LF,0.259957986,Meat,100.2714,OUT019,1985,Small,Tier 1,Grocery Store,70.6593
FDP39,16.495,low fat,0,Breakfast,265.585,OUT010,1998,,Tier 3,Grocery Store,512.0579
FDR29,,Regular,0,Soft Drinks,212.5582,OUT018,2009,Medium,Tier 3,Supermarket Type2,750.1372
DRZ49,13.727,reg,0.114728475,Dairy,180.4874,OUT046,1997,Small,Tier 1,Supermarket Type1,947.4044
DRE09,10.187,reg,0.06573732,Health and Hygiene,63.7791,OUT049,1999,Medium,Tier 1,Supermarket Type1,886.2634
FDP34,6.777,Regular,0,Seafood,179.9765,OUT027,1985,Medium,Tier 3,Supermarket Type3,1159.5632
FDC33,9.561,low fat,0.172942033,Frozen Foods,195.3932,OUT035,2004,Small,Tier 2,Supermarket Type1,2595.265
